"filename", "language", "Python", "Markdown", "C++", "YAML", "plantuml", "Properties", "Arduino", "Ini", "comment", "blank", "total"
"/home/bryan/Documents/UCL/year1/term3/space_robot/.clang-format", "YAML", 0, 0, 0, 56, 0, 0, 0, 0, 273, 76, 405
"/home/bryan/Documents/UCL/year1/term3/space_robot/AGENTS.md", "Markdown", 0, 141, 0, 0, 0, 0, 0, 0, 0, 37, 178
"/home/bryan/Documents/UCL/year1/term3/space_robot/dfu_upload.py", "Python", 25, 0, 0, 0, 0, 0, 0, 0, 0, 6, 31
"/home/bryan/Documents/UCL/year1/term3/space_robot/docs/robot_fsm.puml", "plantuml", 0, 0, 0, 0, 80, 0, 0, 0, 14, 27, 121
"/home/bryan/Documents/UCL/year1/term3/space_robot/libraries/Arduino_USBHostMbed5/.github/dependabot.yml", "YAML", 0, 0, 0, 8, 0, 0, 0, 0, 4, 2, 14
"/home/bryan/Documents/UCL/year1/term3/space_robot/libraries/Arduino_USBHostMbed5/.github/workflows/arduino-lint.yml", "YAML", 0, 0, 0, 20, 0, 0, 0, 0, 4, 4, 28
"/home/bryan/Documents/UCL/year1/term3/space_robot/libraries/Arduino_USBHostMbed5/.github/workflows/compile-examples.yml", "YAML", 0, 0, 0, 59, 0, 0, 0, 0, 3, 9, 71
"/home/bryan/Documents/UCL/year1/term3/space_robot/libraries/Arduino_USBHostMbed5/.github/workflows/report-size-deltas.yml", "YAML", 0, 0, 0, 17, 0, 0, 0, 0, 5, 3, 25
"/home/bryan/Documents/UCL/year1/term3/space_robot/libraries/Arduino_USBHostMbed5/.github/workflows/spell-check.yml", "YAML", 0, 0, 0, 16, 0, 0, 0, 0, 2, 5, 23
"/home/bryan/Documents/UCL/year1/term3/space_robot/libraries/Arduino_USBHostMbed5/.github/workflows/sync-labels.yml", "YAML", 0, 0, 0, 107, 0, 0, 0, 0, 11, 21, 139
"/home/bryan/Documents/UCL/year1/term3/space_robot/libraries/Arduino_USBHostMbed5/README.md", "Markdown", 0, 24, 0, 0, 0, 0, 0, 0, 0, 14, 38
"/home/bryan/Documents/UCL/year1/term3/space_robot/libraries/Arduino_USBHostMbed5/examples/DirList/DirList.ino", "Arduino", 0, 0, 0, 0, 0, 0, 62, 0, 18, 14, 94
"/home/bryan/Documents/UCL/year1/term3/space_robot/libraries/Arduino_USBHostMbed5/examples/FileRead/FileRead.ino", "Arduino", 0, 0, 0, 0, 0, 0, 52, 0, 17, 12, 81
"/home/bryan/Documents/UCL/year1/term3/space_robot/libraries/Arduino_USBHostMbed5/examples/FileWrite/FileWrite.ino", "Arduino", 0, 0, 0, 0, 0, 0, 56, 0, 13, 9, 78
